tweet_id,author,author_id,created_at,text,retweets_count,comments_count,likes_count,quotes_count
1807388485784949148,v66710974699714,1694344217554776065,2024-06-30 12:19:00+00:00,piped.video/watch?v=38af53G4… EL MIERDABEU SE HUNDE COMO EL TITANIC  JOSELITA FLORENTINA LA LAMECUL DE TITOFLOREN CON SU PADRE CATALAN ACHICANDO EL AGUA CON CUBOS REAL DE MADRID,0,0,0,0
1807316033608253456,v66710974699714,1694344217554776065,2024-06-30 07:31:00+00:00,piped.video/watch?v=oQV4BnNl… aqui hablan de la JOSELITA FLORENTINA ESCRITOR DE MIERDA DEL REAL LADRON MADRID,0,0,0,0
1807315357914284203,v66710974699714,1694344217554776065,2024-06-30 07:28:00+00:00,piped.video/watch?v=oQV4BnNl… aqui hablan de la JOSELITA FLORENTINA ESCRITOR DE MIERDA DEL REAL LADRON MADRID,0,0,0,0
1807146692950557048,SergiEstape,211710896,2024-06-29 20:18:00+00:00,"Exacto, como los mediáticos *, mensaje que escriben, mención al Barça. El complejo es enorme.. 
* @JLSanchez78 @Paul_Tenorio @As_TomasRoncero @alfredoduro1 @JorgeCalabres y más chusma meregona",0,0,1,0
1806891785676853461,kmichael_travel,1212735348125495296,2024-06-29 03:25:00+00:00,"Al final quedará en nada todo eso y tú, @JLSanchez78 y cía. quedareis como lo que sois, unos ridículos y unos paletos RM.",0,0,0,0
1806888325590012090,mcjpurbion,3074269128,2024-06-29 03:12:00+00:00,"""Y tu culo un futbolín""",0,0,0,0
1808111014778458435,_JakeDunn,245192926,2024-07-02 12:10:00+00:00,,0,0,0,0
1808108202283717101,Gumball_1709,4821878439,2024-07-02 11:59:00+00:00,Los de @sport escribiendo este artículo mientras se les pasa el efecto del fentanilo...,0,0,0,0
1808073627314663518,Tyblitz7,1632079333358485509,2024-07-02 09:41:00+00:00,Useless source,0,0,0,0
1808073138015449415,xcreed17,1526845406214234114,2024-07-02 09:40:00+00:00,"Yeah, it's fake news",0,0,0,0
1808042021896310996,freegot87,1603471297408749568,2024-07-02 07:36:00+00:00,Humo por 60 millones aún no está amortizado el fichaje,0,0,0,0
1808020167529464146,pinotxotxo,1633918371472236544,2024-07-02 06:09:00+00:00,Fuente: cibeles,0,0,0,0
1808016942277472270,ortega_speed,275208609,2024-07-02 05:56:00+00:00,Estais mintiendo y el @AthleticClub debería de tomar ya cartas en el asunto con el @sport y @DBR8 que lo sigue diciendo te aseguro yo sin ningun argumento,0,0,1,0
1808015931236405405,Franrico548,847936743290568704,2024-07-02 05:52:00+00:00,"Tranquilo, quién da la noticia es David Bernabéu.",0,0,0,0
1807974840436953585,EliB766298,1670238702130417666,2024-07-02 03:09:00+00:00,Jajajja el necesita comer y mantener a su familia,0,0,0,0
1807974755930095726,Javiiic_a23,1270359496481701888,2024-07-02 03:09:00+00:00,"Gracias a tu comentario y al de tu amigo tengo menos esperanza en este mundo, uno por qué no sabe leer y el otro por qué habla sin saber",0,0,0,0
1807410551758168375,alexandersz10,785639902146760704,2024-06-30 13:47:00+00:00,Tú eres un periodista 💩💩,0,0,0,0
1808110066400158170,Natan_h30,1166449772,2024-07-02 12:06:00+00:00,Dónde  están las declaraciones de que prefiere al Barca ? Demuestra y no vengas humo.,0,0,0,0
1808102559187439933,benji_cule,2999921592,2024-07-02 11:36:00+00:00,Que se puede esperar del mayor vende humos. La viuda de Xavi en su prime.,0,0,2,0
1808053962198729103,jokerazulgrana,828910854724788224,2024-07-02 08:23:00+00:00,"Por que coño
No para de salirme este tio si ni le sigo ni quiero y bloqueo sus tuits. David no tiene ni pu idea de futbol,
No da una!",0,0,0,0
1808014644407116103,mulhor,32344875,2024-07-02 05:47:00+00:00,Sois unos VENDEHUMOS,0,0,0,0
1807979066483409066,DonovanRivera9,3225915737,2024-07-02 03:26:00+00:00,Desde que empieza con “soy del barca” se sabe que es de todo menos culé,0,0,0,0
1807905448311321034,Orlamis5,1425142126552264707,2024-07-01 22:33:00+00:00,Vieja asquerosa Lesbiana,0,0,0,0
1807899774865363117,Gonzamartinn_,1460614749079719939,2024-07-01 22:11:00+00:00,Dinos cosas ahora rata asquerosa.,0,0,0,0
1807896707771892159,HITLER6C6,1092054337520578560,2024-07-01 21:58:00+00:00,Que risa como se ve que no sabes nada pero absolutamente nada HDP,0,0,0,0
1807894970398896143,alvaro1612,61225815,2024-07-01 21:52:00+00:00,"Mire le explico..el llora porque siente el futbol en la piel y el alma, y está destrozado porque pudo hacer perder la eliminatoria a su selección.
Y lo más importante señora ""Magdalena"", esto pasa cuando no te regalan las cosas y tienes que lucharlas y ganarlas por merito propio",0,0,6,0
1807890898786603035,1994Meola,2260654080,2024-07-01 21:35:00+00:00,Enferma queres llamar la atención???? Busca que hacer.,0,0,0,0
1807890733283541088,FredyAguirreL,308092811,2024-07-01 21:35:00+00:00,"Vaya vieja de mierda, no te vi decir lo mismo con el enano hormonado.",0,0,0,0
1807888102892904743,j_abouchacra,1125916215296364546,2024-07-01 21:24:00+00:00,Cállate imbecil,0,0,0,0
1807887568618303540,Alin65984964,1382337929650049027,2024-07-01 21:22:00+00:00,Y esta vieja pellejua que le pasa ?,0,0,0,0
1807886630302155023,Casemirismo__,1402982883535507456,2024-07-01 21:18:00+00:00,Put4 malnacida,0,0,1,0
1807886482860134835,norwin2009,429450084,2024-07-01 21:18:00+00:00,Eres una imbécil,0,0,0,0
1807804227172839582,TxetxuL,2435978884,2024-07-01 15:51:00+00:00,"Pégate un barrigazo, sosa!!!",0,0,0,0
1807667797931049300,pacarro28,160642322,2024-07-01 06:49:00+00:00,"Ojalá ver tu culo aplastando mi cara, Carme. 🥰",0,0,0,0
1807578444277915876,JotaaRM,1480185569657462793,2024-07-01 00:54:00+00:00,Si si si Yamal es muy bueno y tú estás riquísima,0,0,0,0
1807896386890768728,serpico_81,1237464119667765250,2024-07-01 21:57:00+00:00,Que comentario tan inútil y que denota un vacío interior propio de una amargada del fútbol.. y me quedo corto😚,0,0,0,0
1807889806690484310,panionios34,377891369,2024-07-01 21:31:00+00:00,🤣🤣🤣🤣🤣🤣🤣la nenaza ya no marca ni de penaldo!!!,0,0,0,0
1807887184651080122,Lloroscule,1105662772816371714,2024-07-01 21:21:00+00:00,Joder después está pide respeto y va de feminista y todo el lío jjsjajaja solo le falto decir llorando como una nena jajajaj,0,0,0,0
1807521362266976762,Madridebasta78,3014572781,2024-06-30 21:07:00+00:00,"Eres una sinvergüenza, Carmen",0,0,0,0
1807921696541679865,JosGonz05,1140672170533801985,2024-07-01 23:38:00+00:00,"Eres muy falta de respeto,indecente y baja,vales menos que una escupida.Bruja",0,0,0,0
1805714657631682988,stalinaya45,1298748981921579009,2024-06-25 21:28:00+00:00,Lacaya otanista !!!,0,0,0,0
1805801567787913655,gorka134668,1774178294843219968,2024-06-26 03:13:00+00:00,Q sabréis los cabes 🐂🐂🐂🐂 TROS de @_infolibre rebuznais por REBUZNAR mentiras JELIPOLLESES estupidezes y BOBADAS Paya 🤡🤡🤡🤡🤡🤡🤡🆘 ignorantes?!?,0,0,0,0
1804149844870574345,urzisu,139537772,2024-06-21 13:50:00+00:00,"Aprende a escribir,cateta",0,0,1,0
1804608986781798538,akatuitboy_,1298644489888763904,2024-06-22 20:14:00+00:00,Navarrosa hoy por donde se sale en barna? A donde vayas tu voy yo,0,2,3,0
1805661022893785298,simpleMadrid,1572296737238253571,2024-06-25 17:55:00+00:00,MILF,0,0,0,0
1804626604166938918,MGonzlez16,1184600709351854080,2024-06-22 21:24:00+00:00,Comete cuatro mierdas catalufa,0,0,0,0
1804550948704112829,Flickball19,1774459928058720256,2024-06-22 16:24:00+00:00,Stfu fool,0,0,0,0
1805213714238382255,erpesaoderpueb1,1502756348370604033,2024-06-24 12:17:00+00:00,Estais aterrados zurdos de mierda,0,0,0,0
1804230149673566706,AE_HencheDiego,982730824532578304,2024-06-21 19:09:00+00:00,@basteiro o decías de esta noticia...FELÓN Y TRAIDOR,0,0,0,0
1806405999005237252,Cuco22298647,1618401399213068288,2024-06-27 19:15:00+00:00,"Que TONTO ERES, J L SÁNCHEZ,SI TE PILLO EN UN CARA A CARA, QUE PEQUEÑITO TE QUEDAS, SEGURO QUE LE VOTAS A VOX, PORQUE LAS TIENES TODAS, PERO LAS MALAS. LAS VIRTUDES DIGO. JAMAS VERAS CON CLARIDAD, LA VIDA, EL MUNDO. FANÁTICO",0,0,0,0
1806372115735572910,Jose_m291263,1635773140889489411,2024-06-27 17:00:00+00:00,"Como dice @RichardDees, es un trompetero equilibrista, junto con @DBR8 y como tú mismo dices, es otro periodista limitado, en mi opinión un trepa.
Eso sí, no le des la espalda como pueda te la clava.",0,0,0,0
1806373577920549372,pascual_cava,1534929932119425027,2024-06-27 17:06:00+00:00,"Denunciado el denunciante... es para flipar.
Que asco dais defendiendo patrañas",1,0,3,0
1806254819641852126,AlbertoArcosWeb,192593369,2024-06-27 09:14:00+00:00,"@MariaJamardoC una periodista q ha dicho sobre el bombardeo d Guernica:
”ni el que bombardeaba era bueno, ni los bombardeados eran tan buenos tampoco, ni el que bombardeaba era malo, ni los que eran bombardeados eran tan buenos”

Es decir,  justifica los bombardeos
Vomitivo",0,0,0,0
1805890471945777527,Gato608,1450204182284316676,2024-06-26 09:06:00+00:00,"Al Frijolito le enseñó el Presidente Sánchez el camino ,con Tigo o sin Ti ,y Frijolito se a cagao ,hija de la gran ,🍊🥭🍎🍉🍓🍑🥭🥭🥭🥭🍎🍎🍉🍓🍑🍒",0,0,0,0
1805715710724669739,Cuchita20692492,1051940395683381251,2024-06-25 21:32:00+00:00,Vendidos 🤮,1,0,2,0
1805696484991525252,MarcoA_GM,568940242,2024-06-25 20:16:00+00:00,"Cómo le das la vuelta... Y, lo que más gracia me hace es decir que Sánchez coloniza las empresas públicas; claro, cuando gobierna el PP pone a gente tan independiente como Feijoo a presidir Correos. Dejad de manipular, la gente no es tan imbécil.",2,1,14,0
1805851649526714402,achajim,1252590104,2024-06-26 06:32:00+00:00,Aquí una comunista peligrosa,0,0,0,0
1805206475146412485,evathees,1366057299152957441,2024-06-24 11:48:00+00:00,"PSEUDO PERIODISTA, SACO DE MIERDA @carlosecue 🤦‍♀️",0,0,0,0
1804873293272428974,Fachiruloreload,3091928667,2024-06-23 13:45:00+00:00,"Que os f011en, Lo País.",0,0,0,0
1804835988134322522,DianamoraEu,1435647384902590467,2024-06-23 11:16:00+00:00,"Coño si usted es el hijpputa lameculos del sanchismo.
Móntate aquí.",0,0,0,0
1804805470227513761,alonsoboni,604517325,2024-06-23 09:15:00+00:00,“Calla zurdo de mierda” dice @JMilei,0,0,0,0
1804800521263370404,El_Alpino,962023144281133056,2024-06-23 08:55:00+00:00,"Cuando le conviene a tu amo y señor…te pasas la Constitución por el forro de los kohones…y ahora la sacas a pasear, también para servir a tu amo y señor…verdad mercenario?",0,0,0,0
1804664717555699893,EspanaUnidaPart,1763684097182863360,2024-06-22 23:56:00+00:00,"COMO NO, LAMEBOTAS y MANTENIDO DEL GOBIERNO 🇪🇸 @vox_es @ppopular",0,0,2,0
1804655116898689176,1_Sloppy_Joe,1586800050994282498,2024-06-22 23:18:00+00:00,"Calla, lamefalos.",0,0,0,0
1804645311094141315,Diegocanmon,388209591,2024-06-22 22:39:00+00:00,Combate.... La batalla del relato hace tiempo que la perdisteis #pelele,0,0,0,0
1804816131586150782,jgmedina1988,4725791314,2024-06-23 09:57:00+00:00,Habrá que reformar para que los paniaguados como tú volváis al paro.,0,0,0,0
1805508676360261645,brahmabcn,259728035,2024-06-25 07:49:00+00:00,Menudo retraso mental que tienes,0,0,0,0
