author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
982730824532578304,AE_HencheDiego,Andrés-Enrique 🇪🇸 💥,La vida es aquello que pasa mientras hacemos planes,True,2018-04-07 21:24:00,37353,614,101,25756,https://pbs.twimg.com/profile_images/1041820417403629573/ytlCkQzi.jpg,https://pbs.twimg.com/profile_banners/982730824532578304/1593984454/1500x500
1611163558837886977,thekoalawizard,The Koala Wizard,"🐨 I prefer to eat the top leaves that contain more protein and water, so I save energy that involves me going down the tree and looking for water.",True,2023-01-06 00:52:00,78252,205,130,25210,https://pbs.twimg.com/profile_images/1786218092642656258/z7PLWjQK.jpg,https://pbs.twimg.com/profile_banners/1611163558837886977/1725042529/1500x500
1363533106179952644,Alberto66087550,El Rey blanco,Real Madrid fútbol club y la 🐐 el más grande CRISTIANO RONALDO 🐐 CR7,True,2021-02-21 16:57:00,4657,545,473,11429,https://pbs.twimg.com/profile_images/1823867827687739392/KtsBdfJg.jpg,https://pbs.twimg.com/profile_banners/1363533106179952644/1689836597/1500x500
1181725796739760135,peteret50135854,El limosnero de Europa,Abogado,True,2019-10-09 00:19:00,1299,1114,53,11709,https://pbs.twimg.com/profile_images/1182114226795667459/5DdcmUVY.jpg,https://pbs.twimg.com/profile_banners/1181725796739760135/1718167133/1500x500
1386424573051248642,AlbertoNeiraL,Alberto Neira 🇪🇸🇵🇪,Madrileño. Abogado por la @UAM_Madrid y beca del @TConstitucionE. Especialista en d° público. Vivo en Perú. 23J=11M+1O,True,2021-04-25 20:59:00,120850,1324,1761,87347,https://pbs.twimg.com/profile_images/1854165010664095770/76ATnjCp.jpg,https://pbs.twimg.com/profile_banners/1386424573051248642/1731639792/1500x500
190351194,JoseMariBailo,José Mari Bailo,Músico. Guitarrista. Direstraitsiano. Humanista sencillo. Ortodoxo en el día a día. Enfermedades raras. Profesor de conservatorio durante 20 años. Soy de Bach.,True,2010-09-13 18:48:00,71022,1559,2318,39254,https://pbs.twimg.com/profile_images/1792958313316909056/ZsXVZ3dm.jpg,https://pbs.twimg.com/profile_banners/190351194/1417187609/1500x500
