author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
1797696429437165568,KikiLottin,Kiki,Una tortuga anda suelta.,True,2024-06-03 18:27:00,1578,465,29,98,https://pbs.twimg.com/profile_images/1814677719302455296/4EDSu9rS.jpg,https://pbs.twimg.com/profile_banners/1797696429437165568/1717439720/1500x500
nan,verdades1034,Verdades,,True,2015-01-18 21:17:00,4606,175,37,258,https://pbs.twimg.com/profile_images/1608457532510543872/jzLdKE4v.jpg,
1429550579802677248,Valentin0299,Valentín,"Valen
25 Years
Barcelona, Madrid, Badajoz",True,2021-08-22 21:06:00,16257,1405,146,107007,https://pbs.twimg.com/profile_images/1430203329599188997/bQFGRT1V.jpg,https://pbs.twimg.com/profile_banners/1429550579802677248/1724744023/1500x500
nan,javier937444934,12344321,,False,2023-05-14 12:17:00,586,0,0,80,https://pbs.twimg.com/profile_images/1657721713059086337/WPrK6uSm.png,
nan,aighor76,aighor,,True,2014-05-16 13:26:00,144,84,4,151,https://pbs.twimg.com/profile_images/487618856039747584/pLmrT0cB.jpeg,
nan,Estibariz,Ernesto Estibariz,,True,2024-01-08 09:11:00,447,238,12,752,https://pbs.twimg.com/profile_images/1792592337454972929/FJUofKGp.jpg,
229861606,polinitito,Tito,Adicto que ya no consume.,True,2010-12-23 14:47:00,206247,592,20808,47107,https://pbs.twimg.com/profile_images/1547344688801267712/17G_nsWe.jpg,https://pbs.twimg.com/profile_banners/229861606/1740435471/1500x500
1260540161148010496,Maria44130399,Villana,"Orgullosamente bloqueada por Perez Reverte. Feminista. Machirulos, circulen...la Constitución un libro de ficción para la mayoria",True,2020-05-13 11:59:00,27238,567,138,24183,https://pbs.twimg.com/profile_images/1902697035242905600/Q-P76FxP.jpg,https://pbs.twimg.com/profile_banners/1260540161148010496/1728836364/1500x500
nan,bejarawi,Bejarawi,,False,2019-09-11 22:21:00,31,25,2,60,https://pbs.twimg.com/profile_images/1821540011746959361/y2XyJuOi.jpg,
nan,vericat67,antonio vericat,,False,2012-10-24 17:46:00,129,9,0,10,https://pbs.twimg.com/profile_images/1675908368068751372/ThxS_JdB.jpg,
nan,paorle56,pol56,"Valencia C.F y mí Valencia, un  sentiment. Amante de la libertad y las causas justas.",True,2022-06-12 06:26:00,2315,279,57,4040,https://pbs.twimg.com/profile_images/1536309516597350401/f53PjtXC.jpg,
nan,suarez_ped41874,Pedro Suarez,,False,2024-02-14 06:38:00,624,55,0,55,,
nan,jotabased,Based Jota,,True,2010-12-03 21:13:00,49110,764,321,33771,https://pbs.twimg.com/profile_images/618677170710384640/POxoaCoc.jpg,
nan,MiguelArribas1,Miguel ARRIBAS,Miguel Arribas music lover,True,2012-11-14 06:21:00,1455,131,49,205,,
1261416393846726912,RandomT48774640,RandomTroll,"Trolaco confeso
Madre encargada de curso
I was around when Schettino had his moment of doubt and pain",True,2020-05-15 22:01:00,4223,34,33,5111,https://pbs.twimg.com/profile_images/1633371268647878660/PRBrlwtG.jpg,https://pbs.twimg.com/profile_banners/1261416393846726656/1730671141/1500x500
nan,Ekniak0,Iñaki,,True,2014-05-24 18:03:00,12710,353,46,4763,https://pbs.twimg.com/profile_images/1069373825173938178/SkvfsoA8.jpg,
1061171855476883584,Jared_VennettT,San Junípero’s Pilot,,True,2018-11-10 08:21:00,5879,1232,241,112875,https://pbs.twimg.com/profile_images/1551545003935207424/ekZDx1PF.jpg,https://pbs.twimg.com/profile_banners/1061171855476883456/1655932183/1500x500
nan,voqueron1977,José Manuel Sánchez,,True,2012-12-06 19:58:00,15422,436,241,16843,https://pbs.twimg.com/profile_images/1143584253319532544/o11qcotF.jpg,
nan,fbenitez19531,F.Benitez,,True,2015-12-03 15:44:00,7522,321,23,1031,https://pbs.twimg.com/profile_images/851087858681118720/SwzZtVjA.jpg,
nan,palopi12,Palomapi,,False,2016-12-20 16:31:00,26718,114,64,4056,,
nan,jucemosan,JULIO MORENO SANCHEZ,,True,2014-10-12 13:24:00,1700,75,6,66,,
1389676817469120512,madridbola,Democracy enjoyer,Respetuosamente demócrata.,True,2021-05-04 20:22:00,4193,570,85,19687,https://pbs.twimg.com/profile_images/1553117676289024002/VzMfw7tT.jpg,https://pbs.twimg.com/profile_banners/1389676817469120520/1624988454/1500x500
1379691168,RicardoMiracle,Ricardo Miracle,Abogado full time y escritor a ratos perdidos. Autor de la novela Un amor sin fin(al) (Ed. Carena) #BrigadaTuitera,True,2013-04-25 15:24:00,1335,738,715,57679,https://pbs.twimg.com/profile_images/535182975571607553/g5jzDZbQ.jpeg,https://pbs.twimg.com/profile_banners/1379691168/1366975567/1500x500
