"author","count_star()"
"1694344217554776065",94
"714377328869171205",19
"4045996030",8
"1595358274647359490",7
"902242545408905218",6
"982730824532578304",6
"1415440034346504194",5
"1307372447335931912",5
"1230075350144647169",5
"236524587",5
"1366057299152957441",5
"1684322769620672516",5
"1024300438278078464",4
"1457327530554413060",4
"1585676483359477761",4
"1621152552258801672",4
"1229085033484423170",4
"1069306175932510208",4
"1734671541269389312",4
"3154566215",4
"1400696075800006660",4
"1597641671302385668",4
"1331624827237634056",3
"793917651970093058",3
"1623624820704387072",3
"625566377",3
"722567408070868992",3
"3436621384",3
"1473013324396773379",3
"977655689370882048",3
"379081311",3
"315696816",3
"705099490366267393",3
"308092811",3
"185392823",3
"1153336133914415104",3
"2367195271",3
"457884310",3
"1238354342517899264",3
"1679579855422210048",3
"1661520962242707457",3
"3014572781",3
"1502756348370604033",3
"3035183359",2
"1762321895901298689",2
"2547716297",2
"1260208288853041153",2
"1116696668",2
"1737473251951955968",2
"1270359496481701888",2
"1088075194500083712",2
"257701485",2
"254170313",2
"1349889373215617024",2
"1568865721681068032",2
"501956919",2
"280244562",2
"1414319445808402434",2
"1611163558837886977",2
"283019707",2
"115503011",2
"1510152512887836676",2
"2490429906",2
"1665677569671168002",2
"1341750498639097859",2
"1571550826996318210",2
"1028878550",2
"771489647960653825",2
"1611151825259974656",2
"960463825",2
"742991325386117122",2
"463352935",2
"211710896",2
"1122628896",2
"2358625611",2
"1716123794106978304",2
"1745457374608203778",2
"1763255388898516992",2
"1337073219455643654",2
"459277346",2
"271673521",2
"780472708274462720",2
"741014612489994240",2
"193662296",2
"408570641",2
"4805624955",2
"2761999017",2
"1521485664998633477",2
"1441008180398526470",2
"1618401399213068288",2
"1212824206913622016",2
"1526845406214234114",2
"1450204182284316676",2
"887520162",2
"1174014650884775938",2
"1361376260140773387",2
"482147864",2
"190351194",2
"1122384733667766272",2
"743473917050884096",2
"1551293413638737920",2
"450750878",2
"177319173",2
"1269250578581946368",2
"51582261",2
"1089282872",2
"1212735348125495296",2
"1181725796739760135",2
"1541477934262779905",2
"1280870751759892481",2
"1363533106179952644",2
"1402982883535507456",2
"1774459928058720256",2
"1395346703436353540",2
"747567347733499909",2
"909220747",2
"241624644",2
"925322125",2
"1738340054534131712",2
"911230406300770305",2
"1785032798601891840",2
"1910520919",2
"267221965",2
"1122605972026023937",2
"567517842",2
"1549145018044223490",2
"1623490597897003008",2
"337268427",2
"1386424573051248642",2
"1033796634101067777",2
"633231289",2
"1328144932318703617",2
"1565597323446591495",2
"1138440146",2
"1217872824284712965",2
"1144161207898779650",2
"250765556",2
"1463903624",2
"3207794057",2
"746714404452970496",2
"1388429295647920128",2
"1798765673986052099",2
"963492493458329602",2
"796158301788667908",2
"1198845188",2
"914865647347216385",2
"199025705",2
"1612548760248131593",2
"1061376213351047173",2
"1736319943501639681",2
"202170598",2
"1682403880477376515",2
"1798432400067678208",2
"708681056262590464",2
"907662119339950080",2
"1461763485768032266",2
"362767321",2
"731242421124771840",2
"4878820983",2
"1708500459856572417",2
"924006917185441792",2
"1241271904905957378",2
"77091352",2
"112282698",2
"2271413064",2
"1638532776147275778",2
"1735042301473288193",2
"3019584137",2
"1646267601440440320",2
"2910748859",2
"289393526",2
"465753157",2
"1791522730145099776",2
"1568675785740787712",2
"1036489248717856773",2
"1615874199641366528",2
"246229679",2
"995249600477966336",2
"7586252",2
"310402833",2
"1786364995745296385",2
"2706766128",2
"1613342786727690241",1
"2419781288",1
"1644849817204449282",1
"1708128189589934080",1
"1612398872415936513",1
"424438898",1
"1691393337725497344",1
"1221631549961011201",1
"142969151",1
"148853292",1
"1433416725131837443",1
"1796176533226184705",1
"332281483",1
"925182803754483713",1
"1345871403715874817",1
"1552140602493607939",1
"1646310268031635456",1
"1368189740437147655",1
"1160531535373766656",1
"948531598726717440",1
"621076122",1
"4912843775",1
"1640809303194980352",1
"2152696980",1
"768634404",1
"358418114",1
"1722270860650872832",1
"2259783526",1
"1407301038105837571",1
"848651305644064768",1
"1222240031122907137",1
"1436203277276831746",1
"376570930",1
"811921826800697344",1
"802455491150577664",1
"1266490058162548740",1
"3764052376",1
"1155385210340544512",1
"1385075749451931648",1
"1070444943234228224",1
"138053958",1
"287233069",1
"1586983095168733184",1
"250176326",1
"1148080940691918848",1
"1480889290238402567",1
"267909842",1
"1750207445878632449",1
"285809067",1
"913748085355970561",1
"1660945192889794560",1
"245192926",1
"1415640330783891458",1
"1794834427312275456",1
"1466095115060002832",1
"1340639717289803776",1
"972928495327305728",1
"1300042146532204545",1
"1510593177723584512",1
"1570210235855376384",1
"1404119598040027138",1
