tweet_id,author,author_id,created_at,text,retweets_count,comments_count,likes_count,quotes_count
1804782208495812729,tuzaro,96187249,2024-06-23 07:43:00+00:00,Calla guarra.,0,0,0,0
1804488878188802491,pj_ponce,1562172219354226690,2024-06-22 12:17:00+00:00,No te has agachado lo suficiente?,0,0,0,0
1804360195167883520,francis16609467,539127247,2024-06-22 03:46:00+00:00,Lo de traca es lo tuyo ni periodismo ni nada. Sectaria de un  sistema,0,0,0,0
1804296793779278316,gamer_shakur,1441008180398526470,2024-06-21 23:34:00+00:00,Hacerte pasar por periodista rigurosa como tú.,0,0,0,0
1805588699918242134,fernandovilabla,236524587,2024-06-25 13:07:00+00:00,No cabe un machismo más asqueroso que el de Ester colera.,0,0,0,0
1804382127674273825,Vaoret,299289589,2024-06-22 05:13:00+00:00,Sectaria,0,0,0,0
1805691727074017557,FbaPacobajo,1463903624,2024-06-25 19:57:00+00:00,Te voy a bloquear porque eres muy gilipollas,0,0,0,0
1807515299593539914,crisant48428549,1122605972026023937,2024-06-30 20:43:00+00:00,"Después vas de muy español , cantas antes los goles de jugadores del Madrid de otras selecciones k los goles de España,eres otro 💩más de español de pulserita 🤮🤮🤮🤮",0,0,2,0
1807475965007921608,SALVATRACTIVE25,463352935,2024-06-30 18:07:00+00:00,PUTO INGLÉS DE MIERDA,0,0,0,0
1806889398669074475,kmichael_travel,1212735348125495296,2024-06-29 03:16:00+00:00,"Pues lleva dos años el juez inventando tontadas para tus periódicos madridistas. 😂😂😂😂 y para que un retrasado como @JLSanchez78 ponga bombas en cada tuit que se marca, el muy paleto.",0,1,0,0
1808078694595862978,Hsa1981_02,1466095115060002832,2024-07-02 10:02:00+00:00,"Pero, ¿ Ya habéis pagado las nóminas ? , ¿ Ya ha entrado los 60M + 40M de la enésima venta de barsa estudios que ya ha cumplido el plazo de la liga ? 

Habláis para retrasados.",14,19,275,0
1808040001072242899,NoaTwoTrey,856243149475389440,2024-07-02 07:28:00+00:00,Source: trust me bro,0,0,0,0
1807973082822234141,ErManueTietar,2878529104,2024-07-02 03:02:00+00:00,"Fuente :
Mis huevos morenos",0,0,0,0
1808102943524016284,bideabideratzen,1248022828546428928,2024-07-02 11:38:00+00:00,🤣🤣🤣🤣🤣🤣 a ver.....es de género TONTO el que lea semejante subnormalada y diga ....claro que siiii. Nico se quiere venir al Palacas F.C !!! Abrid los ojos. A día de hoy el Palancas F.C es un equipo vulgar en Europa y en la liga aspira a ganar la Copa y NADA MAS.,0,0,0,0
1807893544633561437,joralrod96,835266799872667649,2024-07-01 21:46:00+00:00,Perra faldera 😂,0,0,0,0
1807890141312131437,pablognzzz_,1411628423513096193,2024-07-01 21:32:00+00:00,imbecil,0,0,0,0
1807888826813014156,silvanacreyes,106414083,2024-07-01 21:27:00+00:00,"Me das vergüenza como mujer, luego no vengas con ideas feminazis. Hipócrita!!!!!!",0,0,0,0
1807846159379026045,PescaderoRancio,1088075194500083712,2024-07-01 18:38:00+00:00,Qué pesada la indepe,0,0,0,0
1807905327859523773,chavez266181,1723746751637811200,2024-07-01 22:33:00+00:00,Hija de puta,0,0,0,0
1807888683456254256,CancerberoPerro,1646245360505856004,2024-07-01 21:27:00+00:00,"Que pedazo de comentario de la anciana esta, increible lo detestable que podes llegar a ser hdputa.",0,0,0,0
1805979051607118328,solrac0000,533362319,2024-06-26 14:58:00+00:00,"Genio dando cifras, es un vende humo y de los malos.",0,0,0,0
1806321936722538515,lanitas2000,274742312,2024-06-27 13:41:00+00:00,"María de vergüenza, va muy justita. 😡",0,0,0,0
1806279976729055597,albiiglz97,1458566279661502470,2024-06-27 10:54:00+00:00,Ojalá no tuviesemos que ser victimas de palizas por las calles!!!! Sonrie un poco que siempre estás con cara de oler mierda!!,0,0,0,0
1805701731185213746,jlvillan,177533849,2024-06-25 20:36:00+00:00,"El PP al final siempre defrauda. Y en esta ocasión usted también,  María.",0,0,0,0
1804794082721435999,velasco_reguera,1364199143330226176,2024-06-23 08:30:00+00:00,"Y para pagar paguitas a los magrebies, y para q los jueces los suelten por la calle cuando roban, agreden y violan
Y tú callas pq eres una escoria",0,0,2,0
1804784237054152991,MariaAc83552930,1600161834073563141,2024-06-23 07:51:00+00:00,"Cuando vayas a besarle el cu lo a Peeedrooo se lo recuerdas, ah, y le recuerdas que el interés general no son sus intereses ni los de los delincuentes catalanes.",0,0,0,0
1804745633183510972,gafasbigote,1708500459856572417,2024-06-23 05:17:00+00:00,Eres un analfato y u puto Gordo,0,0,0,0
1807517144730521761,Cuck_cobain,1714628776766652416,2024-06-30 20:50:00+00:00,Eres muy tonto,0,1,1,0
1796448533438206019,MrsGaliano,1624805745194672130,2024-05-31 07:48:00+00:00,REPUGNANTES,0,0,1,0
1796298433474781661,ortizmiki1,747567347733499909,2024-05-30 21:51:00+00:00,Mentirosa compulsiva,0,0,1,0
1796291864934396094,oscolifue,625566377,2024-05-30 21:25:00+00:00,La Palominos,0,0,0,0
1795974961334477227,MomicheSuber,273287266,2024-05-30 00:26:00+00:00,"Venga, Esther. Elegís los jueces que sean socialistas ya directamente.",0,0,0,0
1795934078547448250,Antonio_Poleo,404353147,2024-05-29 21:43:00+00:00,"Esther Palomera, le digo como José Antonio Labordeta: “a la mierda”. ¿Le mola?",0,0,0,0
1795807412202377595,Oliviabis2,1332022858852294659,2024-05-29 13:20:00+00:00,Eres patética,0,0,0,0
1802026028488941598,LomasSan,1365578420,2024-06-15 17:10:00+00:00,Como felais al PSOE menudos pseudo periodistas estáis echos,0,0,0,0
